"","master_metadata_album_artist_name","count","hours","percentage","index","cumulative_percentage"
"1","Nekfeu",8919,544.438050833333,6.49892886809776,1,6.49892886809776
"2","Orelsan",3188,172.470492222222,2.32297177166674,2,8.8219006397645
"3","PLK",2712,129.516737222222,1.9761290604643,3,10.7980297002288
"4","Disiz",2322,132.475209444444,1.69195120884886,4,12.4899809090777
"5","Biga*Ranx",2167,99.7911088888889,1.57900872936067,5,14.0689896384383
"6","Mac Miller",1790,98.5676827777778,1.30430347279908,6,15.3732931112374
"7","Juice WRLD",1638,82.9216583333333,1.19354697678486,7,16.5668400880223
"8","Zamdane",1503,69.7530572222222,1.09517772045643,8,17.6620178084787
"9","Lomepal",1427,82.7349536111111,1.03979947244932,9,18.701817280928
"10","Sneazzy",1220,66.5639897222222,0.888966612745741,10,19.5907838936738
"11","Sopico",1212,64.4278488888889,0.883137323481834,11,20.4739212171556
"12","Rilès",1035,51.4206194444444,0.754164298517903,12,21.2280855156735
"13","Spider ZED",963,37.2514702777778,0.701700695142745,13,21.9297862108162
"14","OBOY",916,42.4995905555556,0.667453620717294,14,22.5972398315335
"15","XXXTENTACION",916,30.4880386111111,0.667453620717294,15,23.2646934522508
"16","Lorenzo",811,35.8635980555556,0.590944199128521,16,23.8556376513794
"17","Damso",802,42.0869408333333,0.584386248706626,17,24.440023900086
"18","Green Montana",696,25.5520763888889,0.507148165959865,18,24.9471720660458
"19","Vald",649,35.5536077777778,0.472901091534415,19,25.4200731575803
"20","Jaden",645,35.1722786111111,0.469986446902461,20,25.8900596044827
"21","Booba",637,29.3013925,0.464157157638555,21,26.3542167621213
"22","Népal",610,30.0130625,0.44448330637287,22,26.7987000684941
"23","Casseurs Flowters",589,34.4011319444444,0.429181422055116,23,27.2278814905493
"24","Stand High Patrol",586,33.9548833333333,0.426995438581151,24,27.6548769291304
"25","Pop Smoke",569,26.1125227777778,0.41460819889535,25,28.0694851280258
"26","Hamza",560,27.2264805555556,0.408050248473455,26,28.4775353764992
"27","Blundetto",519,28.6698908333333,0.378175140995934,27,28.8557105174952
"28","Laylow",505,24.0821866666667,0.367973884784098,28,29.2236844022793
"29","Bekar",487,20.8925302777778,0.354857983940308,29,29.5785423862196
"30","Jok'air",483,30.8766036111111,0.351943339308355,30,29.9304857255279
"31","Kekra",479,22.8079494444444,0.349028694676402,31,30.2795144202043
"32","Sfera Ebbasta",460,19.1325738888889,0.335184132674624,32,30.6146985528789
"33","Maes",459,19.438705,0.334455471516635,33,30.9491540243956
"34","Lefa",436,21.0947688888889,0.317696264882904,34,31.2668502892785
"35","Fakear",395,23.4477330555556,0.287821157405383,35,31.5546714466839
