"","ts","platform","ms_played","conn_country","master_metadata_track_name","master_metadata_album_artist_name","master_metadata_album_album_name","spotify_track_uri","reason_start","reason_end","shuffle","offline","genres","day"
"21",2018-02-17 23:26:47,"Computer",226950,"FR","Above All","Home","Before the Night","spotify:track:7ySSQhz1O7otIcgyOIdRUY","trackdone","","True","False","vaporwave","samedi"
"443",2018-02-21 02:10:32,"Computer",226950,"FR","Above All","Home","Before the Night","spotify:track:7ySSQhz1O7otIcgyOIdRUY","trackdone","","True","False","vaporwave","mercredi"
"920",2018-02-25 17:55:32,"Computer",226950,"FR","Above All","Home","Before the Night","spotify:track:7ySSQhz1O7otIcgyOIdRUY","trackdone","","True","False","vaporwave","dimanche"
"1053",2018-03-01 17:09:26,"Computer",226950,"FR","Above All","Home","Before the Night","spotify:track:7ySSQhz1O7otIcgyOIdRUY","trackdone","","True","False","vaporwave","jeudi"
"1285",2018-03-02 22:18:15,"Computer",226950,"FR","Above All","Home","Before the Night","spotify:track:7ySSQhz1O7otIcgyOIdRUY","trackdone","","True","False","vaporwave","vendredi"
"1376",2018-03-03 22:21:49,"Computer",226950,"FR","Above All","Home","Before the Night","spotify:track:7ySSQhz1O7otIcgyOIdRUY","trackdone","","True","False","vaporwave","samedi"
"1747",2018-03-09 23:22:40,"Computer",226950,"FR","Above All","Home","Before the Night","spotify:track:7ySSQhz1O7otIcgyOIdRUY","trackdone","","True","False","vaporwave","vendredi"
"1859",2018-03-10 18:07:24,"Computer",226950,"FR","Above All","Home","Before the Night","spotify:track:7ySSQhz1O7otIcgyOIdRUY","trackdone","","True","False","vaporwave","samedi"
"2157",2018-03-12 22:30:05,"Computer",226950,"FR","Above All","Home","Before the Night","spotify:track:7ySSQhz1O7otIcgyOIdRUY","trackdone","","True","False","vaporwave","lundi"
"2659",2018-03-19 22:01:24,"Computer",226950,"FR","Above All","Home","Before the Night","spotify:track:7ySSQhz1O7otIcgyOIdRUY","trackdone","","False","False","vaporwave","lundi"
"3190",2018-04-01 09:07:55,"Computer",8709,"FR","Above All","Home","Before the Night","spotify:track:7ySSQhz1O7otIcgyOIdRUY","trackdone","","False","False","vaporwave","dimanche"
"3451",2018-04-08 14:09:43,"Computer",226950,"FR","Above All","Home","Before the Night","spotify:track:7ySSQhz1O7otIcgyOIdRUY","trackdone","","False","False","vaporwave","dimanche"
"3638",2018-04-11 19:35:14,"Computer",226950,"FR","Above All","Home","Before the Night","spotify:track:7ySSQhz1O7otIcgyOIdRUY","trackdone","trackdone","True","False","vaporwave","mercredi"
"4783",2018-05-01 01:51:33,"Computer",226950,"FR","Above All","Home","Before the Night","spotify:track:7ySSQhz1O7otIcgyOIdRUY","clickrow","trackdone","True","False","vaporwave","mardi"
"4859",2018-05-03 20:17:01,"Computer",226950,"FR","Above All","Home","Before the Night","spotify:track:7ySSQhz1O7otIcgyOIdRUY","trackdone","trackdone","True","False","vaporwave","jeudi"
"5596",2018-05-18 17:04:36,"Computer",226950,"FR","Above All","Home","Before the Night","spotify:track:7ySSQhz1O7otIcgyOIdRUY","trackdone","trackdone","False","False","vaporwave","vendredi"
